files,object,cl,proba,W,H
obj108__0.txt,108,Traffic_Light,1.0,100,455
obj108__2.txt,108,Traffic_Light,1.0,88,389
obj108__3.txt,108,Traffic_Light,1.0,82,315
obj110__1.txt,110,Traffic_Light,1.0,70,298
obj110__3.txt,110,Traffic_Light,1.0,72,275
obj111__1.txt,111,Traffic_Light,1.0,94,454
obj111__2.txt,111,Traffic_Light,1.0,151,451
obj111__3.txt,111,Traffic_Light,1.0,103,395
obj130__1.txt,130,Traffic_Light,1.0,101,451
obj130__2.txt,130,Traffic_Light,1.0,94,373
obj130__3.txt,130,Traffic_Light,1.0,88,317
obj148__0.txt,148,Traffic_Light,1.0,67,442
obj148__1.txt,148,Traffic_Light,1.0,74,432
obj159__2.txt,159,Traffic_Light,1.0,81,225
obj159__3.txt,159,Traffic_Light,1.0,119,216
obj164__2.txt,164,Traffic_Light,1.0,129,459
obj164__3.txt,164,Traffic_Light,1.0,103,385
obj168__0.txt,168,Traffic_Light,1.0,82,155
obj168__1.txt,168,Traffic_Light,1.0,83,145
obj175__0.txt,175,Traffic_Light,1.0,318,996
obj175__1.txt,175,Traffic_Light,1.0,302,965
obj175__2.txt,175,Traffic_Light,1.0,201,624
obj176__0.txt,176,Traffic_Light,1.0,83,131
obj176__1.txt,176,Traffic_Light,1.0,78,125
obj176__2.txt,176,Traffic_Light,1.0,80,120
obj176__3.txt,176,Traffic_Light,1.0,74,112
obj182__0.txt,182,Traffic_Light,1.0,71,220
obj182__1.txt,182,Traffic_Light,1.0,70,217
obj182__2.txt,182,Traffic_Light,1.0,75,213
obj188__0.txt,188,Traffic_Light,1.0,101,262
obj188__1.txt,188,Traffic_Light,1.0,100,256
obj188__2.txt,188,Traffic_Light,1.0,102,255
obj189__0.txt,189,Traffic_Light,1.0,112,341
obj189__1.txt,189,Traffic_Light,1.0,109,339
obj189__3.txt,189,Traffic_Light,1.0,108,315
obj190__0.txt,190,Traffic_Light,1.0,72,189
obj190__1.txt,190,Traffic_Light,1.0,67,164
obj190__2.txt,190,Traffic_Light,1.0,64,143
obj190__3.txt,190,Traffic_Light,1.0,62,129
obj25__2.txt,25,Traffic_Light,1.0,118,464
obj25__3.txt,25,Traffic_Light,1.0,101,413
obj29__0.txt,29,Traffic_Light,1.0,399,1096
obj29__1.txt,29,Traffic_Light,1.0,315,844
obj29__2.txt,29,Traffic_Light,1.0,291,807
obj29__3.txt,29,Traffic_Light,1.0,255,571
obj2__0.txt,2,Traffic_Light,1.0,910,1818
obj2__1.txt,2,Traffic_Light,1.0,466,1244
obj2__2.txt,2,Traffic_Light,1.0,442,939
obj2__3.txt,2,Traffic_Light,1.0,231,624
obj33__0.txt,33,Traffic_Light,1.0,196,570
obj33__1.txt,33,Traffic_Light,1.0,177,541
obj33__2.txt,33,Traffic_Light,1.0,175,505
obj33__3.txt,33,Traffic_Light,1.0,179,447
obj43__0.txt,43,Traffic_Light,1.0,292,714
obj43__1.txt,43,Traffic_Light,1.0,229,629
obj43__2.txt,43,Traffic_Light,1.0,225,608
obj43__3.txt,43,Traffic_Light,1.0,237,553
obj44__0.txt,44,Traffic_Light,1.0,279,660
obj44__1.txt,44,Traffic_Light,1.0,248,650
obj44__2.txt,44,Traffic_Light,1.0,277,568
obj53__0.txt,53,Traffic_Light,1.0,244,670
obj53__1.txt,53,Traffic_Light,1.0,219,617
obj53__2.txt,53,Traffic_Light,1.0,177,541
obj53__3.txt,53,Traffic_Light,1.0,156,464
obj74__0.txt,74,Traffic_Light,1.0,142,443
obj74__3.txt,74,Traffic_Light,1.0,103,341
obj7__0.txt,7,Traffic_Light,1.0,107,523
obj7__2.txt,7,Traffic_Light,1.0,115,491
obj81__0.txt,81,Traffic_Light,1.0,272,1077
obj81__1.txt,81,Traffic_Light,1.0,313,869
obj81__2.txt,81,Traffic_Light,1.0,330,798
